detector_name,testdataset,nfft,adv,win,total_detections,totalcalls,false positive,false negative,true positive,true_pos_rate,false_neg_rate,false_pos_rate,minf,maxf,min_dur,max_dur,min_sep,min_occupancy,snr_threshold_db,block_size,hop_size,exclude_min,exclude_max,exclude_snr_threshold_db,min_bandwidth,max_bandwidth,bandwidth_energy_percentile,,
bp_morano,,2000,1000,hann,29,108,6,85,23,0.212962962962963,0.787037037037037,0.206896551724138,15.5,21,0,0.5,0.5,0.50,10,2,0.5,,,,,,,,
bpcioffi1,,2000,1000,hann,36,108,7,79,29,0.268518518518519,0.731481481481482,0.194444444444444,15.5,21,0.5,2,0.5,0.50,10,2,0.5,,,,,,,,
bpcioffi2,,2000,1000,hann,52,108,8,64,44,0.407407407407407,0.592592592592593,0.153846153846154,17,22,0.5,2,0.5,0.50,10,2,0.5,,,,,,,,
bpcioffi3,,2000,1000,hann,120,108,42,30,78,0.722222222222222,0.277777777777778,0.35,17,22,0.5,2,0.5,0.50,7,2,0.5,,,,,,,,
bpcioffi4,,2000,1000,hann,49,108,,,,,,,17,22,0.5,2,2,0.50,10,2,0.5,,,,,,,,
bpcioffi5,,2000,1000,hann,79,108,15,15,93,0.861111111111111,0.138888888888889,0.189873417721519,17,22,0.5,2,2,0.80,8,2,0.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,